"Arbeitgeber, die BAV-Förderbetrag auszahlen Anzahl",Jahr,Arbeitgeber Anzahl,Arbeitnehmer Anzahl,Arbeitnehmer mit BAV-Förderbetrag Anzahl,Betriebsgrößenklassen
47585,2021,1842056,6579505,86275,bis 10 Arbeitnehmer
30407,2021,482091,10073592,136938,11 bis 50 Arbeitnehmer
8739,2021,97155,9833189,188699,51 bis 250 Arbeitnehmer
3446,2021,22860,30004840,631578,251 und mehr Arbeitnehmer
90177,2021,2444162,56491126,1043490,Insgesamt
