Jahr,Steuerarten vor der Steuerverteilung,Steuereinnahmen Tsd. EUR
2012,Steuereinnahmen insgesamt,600045798
2012,Gemeinschaftsteuern,426189886
2012,Lohnsteuer,149064614
2012,Veranlagte Einkommensteuer,37262402
2012,Nicht veranlagte Steuern vom Ertrag,20059468
2012,Abgeltungssteuer,8234069
2012,Körperschaftsteuer,16934457
2012,Umsatzsteuer,142438982
2012,Einfuhrumsatzsteuer,52195894
2012,Bundessteuern,99794050
2012,Versicherungsteuer,11137968
