Jahr,Verbraucherpreisindex 2015=100,Bundesländer
1995,"75,0",Baden-Württemberg
1995,"73,9",Bayern
1995,"77,8",Berlin
1995,"76,1",Brandenburg
1995,"77,1",Hessen
1995,"75,9",Mecklenburg-Vorpommern
1995,"74,4",Niedersachsen
1995,"75,0",Nordrhein-Westfalen
1995,"76,2",Rheinland-Pfalz
1995,"76,7",Saarland
1995,"74,4",Sachsen
