Jahr,Veränderung zum Vorjahr in (%),Verbraucherpreisindex 2015=100
1992,"+5,0","68,8"
1993,"+4,5","71,9"
1994,"+2,6","73,8"
1995,"+1,8","75,1"
1996,"+1,3","76,1"
1997,"+2,0","77,6"
1998,"+0,9","78,3"
1999,"+0,6","78,8"
2000,"+1,4","79,9"
2001,"+2,0","81,5"
2002,"+1,3","82,6"
