Jahr,Monate,Verbraucherpreisindex 2015=100,Bundesländer
2018,Januar,"102,2",Baden-Württemberg
2018,Februar,"102,6",Baden-Württemberg
2018,März,"103,1",Baden-Württemberg
2018,April,"103,4",Baden-Württemberg
2018,Mai,"104,2",Baden-Württemberg
2018,Juni,"104,3",Baden-Württemberg
2018,Juli,"104,8",Baden-Württemberg
2018,August,"104,8",Baden-Württemberg
2018,September,"105,2",Baden-Württemberg
2018,Oktober,"105,4",Baden-Württemberg
2018,November,"104,8",Baden-Württemberg
