Jahr,Eingesammelte Transport- und Umverpackungen 1000 t,Einsammler Anzahl
2002,"4554,9",1629
2003,"4480,1",1616
2004,"4646,9",1600
2005,"4685,1",1526
2006,"4571,7",1494
2007,"4542,3",1470
2008,"4245,9",1419
2009,"4138,8",1337
2010,"4263,8",1321
2011,"4195,9",1324
2012,"4259,2",1298
